"opinia";"wykszt";"wynagro"
"Ani tak, ani nie";"zawodowe lub niższe";3562,99
"Ani tak, ani nie";"wyższe";2627,56
"Raczej nie";"zawodowe lub niższe";3976,97
"Raczej nie";"wyższe";2625,42
"Ani tak, ani nie";"średnie";4052,71
"Zdecydowanie tak";"średnie";1950,82
"Raczej tak";"zawodowe lub niższe";1739,84
"Zdecydowanie nie";"wyższe";6241,04
"Raczej nie";"średnie";2583,14
"Ani tak, ani nie";"zawodowe lub niższe";3298,23
"Zdecydowanie tak";"wyższe";3636,57
"Ani tak, ani nie";"wyższe";2516,22
"Ani tak, ani nie";"wyższe";3516,86
"Zdecydowanie nie";"zawodowe lub niższe";3368,96
"Raczej tak";"średnie";2784,62
"Zdecydowanie nie";"średnie";3065,29
"Zdecydowanie nie";"zawodowe lub niższe";2965,93
"Zdecydowanie tak";"średnie";5128,45
"Ani tak, ani nie";"wyższe";2258,66
"Raczej nie";"wyższe";1904
"Raczej nie";"zawodowe lub niższe";3037,79
"Zdecydowanie nie";"średnie";3310,48
"Ani tak, ani nie";"zawodowe lub niższe";3436,52
"Raczej tak";"średnie";2541,63
"Zdecydowanie nie";"wyższe";1936,67
"Ani tak, ani nie";"wyższe";4263,19
"Zdecydowanie tak";"zawodowe lub niższe";2650,35
"Raczej tak";"wyższe";2134,49
"Raczej nie";"średnie";2763,72
"Zdecydowanie tak";"zawodowe lub niższe";2802,82
"Zdecydowanie nie";"zawodowe lub niższe";4109,92
"Zdecydowanie nie";"średnie";3084,74
"Raczej nie";"wyższe";3754,05
"Ani tak, ani nie";"zawodowe lub niższe";2500,71
"Raczej tak";"średnie";3214,45
"Zdecydowanie tak";"średnie";2675,31
"Zdecydowanie tak";"zawodowe lub niższe";3094,58
"Ani tak, ani nie";"średnie";2104,64
"Zdecydowanie nie";"zawodowe lub niższe";1689,2
"Raczej nie";"zawodowe lub niższe";4997,21
"Zdecydowanie tak";"średnie";3600,71
"Zdecydowanie tak";"zawodowe lub niższe";1748,73
"Raczej tak";"wyższe";2388,83
"Zdecydowanie tak";"zawodowe lub niższe";1814,52
"Raczej nie";"zawodowe lub niższe";5198,81
"Zdecydowanie nie";"średnie";4312,41
"Zdecydowanie nie";"zawodowe lub niższe";2734,85
"Ani tak, ani nie";"średnie";3543,19
"Zdecydowanie nie";"zawodowe lub niższe";2585,66
"Zdecydowanie tak";"zawodowe lub niższe";2523,75
"Zdecydowanie nie";"zawodowe lub niższe";2211,4
"Raczej nie";"wyższe";2405,38
"Raczej tak";"wyższe";4650,91
"Raczej tak";"średnie";2945,97
"Ani tak, ani nie";"zawodowe lub niższe";3119,25
"Zdecydowanie nie";"średnie";3243,69
"Raczej nie";"wyższe";4232,48
"Zdecydowanie nie";"średnie";2483,94
"Raczej nie";"wyższe";2007,49
"Raczej tak";"średnie";4675,7
"Zdecydowanie tak";"wyższe";2558,84
"Zdecydowanie tak";"zawodowe lub niższe";2276,93
"Ani tak, ani nie";"zawodowe lub niższe";1763,73
"Zdecydowanie nie";"zawodowe lub niższe";1715,28
"Raczej tak";"zawodowe lub niższe";2426,03
"Zdecydowanie nie";"wyższe";3617,99
"Zdecydowanie nie";"średnie";4109,85
"Ani tak, ani nie";"zawodowe lub niższe";3707,59
"Raczej tak";"średnie";2636,34
"Zdecydowanie nie";"zawodowe lub niższe";3059,75
"Ani tak, ani nie";"wyższe";2295,4
"Zdecydowanie tak";"wyższe";2282,78
"Ani tak, ani nie";"zawodowe lub niższe";3884,65
"Raczej nie";"średnie";1984,41
"Zdecydowanie tak";"wyższe";4955,29
"Zdecydowanie tak";"zawodowe lub niższe";2909,68
"Ani tak, ani nie";"wyższe";3214,54
"Raczej nie";"średnie";2261,47
"Raczej nie";"zawodowe lub niższe";2425,61
"Raczej nie";"zawodowe lub niższe";1682,98
"Raczej tak";"zawodowe lub niższe";2817,07
"Raczej nie";"zawodowe lub niższe";3418,98
"Raczej nie";"zawodowe lub niższe";3324,3
"Raczej tak";"wyższe";2218,46
"Raczej tak";"średnie";2211,38
"Zdecydowanie nie";"średnie";2497,8
"Ani tak, ani nie";"średnie";4496,06
"Ani tak, ani nie";"wyższe";1862,7
"Zdecydowanie nie";"zawodowe lub niższe";2820,95
"Ani tak, ani nie";"średnie";4902,36
"Zdecydowanie tak";"średnie";2899,03
"Raczej nie";"zawodowe lub niższe";1640,16
"Ani tak, ani nie";"średnie";2335,23
"Raczej nie";"zawodowe lub niższe";3485,46
"Zdecydowanie tak";"zawodowe lub niższe";2624,4
"Zdecydowanie tak";"średnie";2438,12
"Ani tak, ani nie";"wyższe";2656,08
"Raczej tak";"zawodowe lub niższe";3090,5
"Raczej tak";"wyższe";4598,51
"Raczej tak";"zawodowe lub niższe";2911,43
